Player,Tm,G,GS,WS,WS%,salary,WS%,expected_salary,salary_diff
Ryan Hollins,MEM,9,0.9,$336716.0,0.028846153846153844,$2383397.68
Jarell Martin,MEM,0,0.8,$1230840.0,0.02564102564102564,$2118575.72
Brandan Wright,MEM,2,0.7,$5500000.0,0.022435897435897433,$1853753.75
Jordan Farmar,MEM,10,0.4,$111683.0,0.01282051282051282,$1059287.86
James Ennis,MEM,0,0.1,$845059.0,0.003205128205128205,$264821.96
Xavier Munford,MEM,0,0.1,$27812.0,0.003205128205128205,$264821.96
Alex Stepheson,MEM,0,0.1,$30888.0,0.003205128205128205,$264821.96
Jordan Adams,MEM,0,0.0,$1404600.0,0.0,$0.0
Bryce Cotton,MEM,0,0.0,$49709.0,0.0,$0.0
Briante Weber,MEM,4,0.0,$30888.0,0.0,$0.0
Elliot Williams,MEM,0,0.0,$55722.0,0.0,$0.0
Russ Smith,MEM,0,-0.1,$816482.0,-0.003205128205128205,$-264821.96
Ray McCallum,MEM,3,-0.2,$111444.0,-0.00641025641025641,$-529643.93
P.J. Hairston,MEM,9,-0.3,$1201440.0,-0.009615384615384614,$-794465.89
Hassan Whiteside,MIA,73,43,10.3,$981348.0,0.21729957805907174,$18646197.56
Chris Bosh,MIA,53,6.4,$22192730.0,0.13502109704641352,$11585986.84
Luol Deng,MIA,74,73,6.4,$10151612.0,0.13502109704641352,$11585986.84
Dwyane Wade,MIA,74,73,4.9,$20000000.0,0.10337552742616035,$8870521.17
Goran Dragic,MIA,72,72,4.7,$14780000.0,0.09915611814345993,$8508459.08
Josh Richardson,MIA,2,2.5,$525093.0,0.052742616033755275,$4525776.11
Justise Winslow,MIA,78,8,2.5,$2481720.0,0.052742616033755275,$4525776.11
Amar'e Stoudemire,MIA,36,2.4,$1499187.0,0.05063291139240506,$4344745.06
Joe Johnson,MIA,24,2.0,$414481.0,0.04219409282700422,$3620620.89
Tyler Johnson,MIA,5,2.0,$845059.0,0.04219409282700422,$3620620.89
Gerald Green,MIA,69,14,1.7,$1356000.0,0.035864978902953586,$3077527.75
Josh McRoberts,MIA,1,0.8,$5543725.0,0.01687763713080169,$1448248.35
Udonis Haslem,MIA,0,0.4,$2854940.0,0.008438818565400845,$724124.18
Beno Udrih,MIA,5,0.4,$2170465.0,0.008438818565400845,$724124.18
Briante Weber,MIA,0,0.0,$12355.0,0.0,$0.0
Greg Monroe,MIL,79,67,7.5,$16400000.0,0.23584905660377364,$16303779.72
Giannis Antetokounmpo,MIL,80,79,7.1,$1953960.0,0.22327044025157236,$15434244.8
Khris Middleton,MIL,79,79,6.1,$15000000.0,0.19182389937106922,$13260407.5
Jabari Parker,MIL,76,72,3.6,$5152440.0,0.11320754716981135,$7825814.26
Jerryd Bayless,MIL,18,2.4,$3000000.0,0.07547169811320756,$5217209.51
John Henson,MIL,1,2.3,$2943221.0,0.07232704402515724,$4999825.78
Miles Plumlee,MIL,61,14,2.2,$2109294.0,0.06918238993710694,$4782442.05
Michael Carter-Williams,MIL,37,1.2,$2399040.0,0.03773584905660378,$2608604.75
Tyler Ennis,MIL,7,0.4,$1662360.0,0.01257861635220126,$869534.92
Johnny O'Bryant,MIL,66,4,0.3,$845059.0,0.009433962264150945,$652151.19
Jared Cunningham,MIL,0,0.0,$57726.0,0.0,$0.0
Steve Novak,MIL,0,0.0,$416886.0,0.0,$0.0
Damien Inglis,MIL,1,-0.1,$855000.0,-0.003144654088050315,$-217383.73
O.J. Mayo,MIL,24,-0.1,$8000000.0,-0.003144654088050315,$-217383.73
Greivis Vasquez,MIL,0,-0.3,$6600000.0,-0.009433962264150945,$-652151.19
Rashad Vaughn,MIL,70,6,-0.8,$1733040.0,-0.02515723270440252,$-1739069.84
Karl-Anthony Towns,MIN,82,82,8.3,$5703600.0,0.24340175953079185,$16719012.51
Gorgui Dieng,MIN,82,39,5.9,$1474440.0,0.17302052785923758,$11884599.25
Ricky Rubio,MIN,76,76,5.8,$12365000.0,0.17008797653958946,$11683165.37
Andrew Wiggins,MIN,81,81,4.1,$5758680.0,0.12023460410557185,$8258789.31
Shabazz Muhammad,MIN,82,0,2.7,$2056920.0,0.07917888563049855,$5438714.91
